port,service,severity
8424,,
8425,,
8426,,
8427,,
8428,,
8429,,
8430,,
8431,,
8432,,
8433,,
8442,,
8443,https,
8444,,
8445,,
8446,,
8447,,
8448,,
8513,,
8545,,
8553,,
8554,,
8575,,
8585,,
8586,,
8590,,
8602,,
8621,,
8622,,
8623,,
8637,,
8649,,
8663,,
8666,,
8686,,
8688,,
8700,,
8728,,
8733,,
8765,,
8766,,
8767,,
8779,,
8782,,
8784,,
8787,,
8788,,
8789,,
8790,,
8791,,
8800,,
8801,,
8802,,
8803,,
8804,,
8805,,
8806,,
8807,,
8808,,
8809,,
8810,,
8811,,
8812,,
8813,,
8814,,
8815,,
8816,,
8817,,
8818,,
8819,,
8820,,
8821,,
8822,,
8823,,
8824,,
8825,,
8826,,
8827,,
8828,,
8829,,
8830,,
8831,,
8832,,
8833,,
8835,,
8836,,
8837,,
8838,,
8839,,
8840,,
8841,,
8842,,
8843,,
8844,,
8845,,
8846,,
8847,,
8848,,
8849,,
8850,,
8851,,
8852,,
8853,,
8854,,
8855,,
8856,,
8857,,
8858,,
8859,,
8860,,
8861,,
8862,,
8863,,
8864,,
8865,,
8866,,
8867,,
8868,,
8869,,
8870,,
8871,,
8872,,
8873,,
8874,,
8875,,
8876,,
8877,,
8878,,
8879,,
8880,proxy,
8881,,
8885,,
8887,,
8888,,
8889,,
8890,,
8891,,
8899,,
8935,,
8969,,
8988,,
8989,,
8990,,
8991,,
8993,,
8999,,
9000,various,
9001,,
9002,,
9003,,
9004,,
9005,,
9006,,
9007,,
9008,,
9009,,
9010,,
9011,,
9012,,
9013,,
9014,,
9015,,
9016,,
9017,,
9018,,
9019,,
9020,,
9021,,
9022,,
9023,,
9024,,
9025,,
9026,,
9027,,
9028,,
9029,,
9030,,
9031,,
9032,,
9033,,
9034,,
9035,,
9036,,
9037,,
9038,,
9039,,
9040,,
9041,,
9042,,
9043,,
9044,,
9045,,
9046,,
9047,,
9048,,
9049,,
9050,,
9051,,
9070,,
9080,,
9082,,
9084,,
9088,,
9089,,
9090,,
9091,,
9092,,
9093,,
9094,,
9095,,
9096,,
9097,,
9098,,
9099,,
9100,,
9101,,
9102,,
9103,,
9104,,
9105,,
9106,,
9107,,
9108,,
9109,,
9110,,
9111,,
9119,,
9136,,
9151,,
9160,,
9189,,
9191,,
9199,,
9200,,
9201,,
9202,,
9203,,
9204,,
9205,,
9206,,
9207,,
9208,,
9209,,
9210,,
9211,,
9212,,
9213,,
9214,,
9215,,
9216,,
9217,,
9218,,
9219,,
9220,,
9221,,
9222,,
9251,,
9295,,
9299,,
9300,,
9301,,
9302,,
9303,,
9304,,
9305,,
9306,,
9307,,
9308,,
9309,,
9310,,
9311,,
9389,,
9418,,
9433,,
9443,,
9444,,
9445,,
9500,,
9527,,
9530,,
9550,,
9595,,
9600,,
9606,,
9633,,
9663,,
9682,,
9690,,
9704,,
9743,,
9761,,
9765,,
9800,,
9861,,
9869,,
9876,,
9898,,
9899,,
9944,,
9950,,
9955,,
9966,,
9981,,
9988,,
9990,,
9991,,
9992,,
9993,,
9994,,
9997,Splunk Forwarding,
9998,,
9999,,
10000,,
10001,,
10134,,
10243,,
10250,,
10443,,
10554,,
11000,,
11112,,
11210,,
11211,,
11300,,
11371,,
12000,,
12345,,
13579,,
14147,,
14265,,
14344,,
16010,,
16030,,
16992,,
18081,,
18245,,
19000,,
19071,,
20000,,
20256,,
20547,,
21025,,
21379,,
22222,,
23424,,
23946,,
25001,,
25105,,
25565,,
27015,,
27017,,
28015,,
28017,,
32400,,
32764,,
33060,,
35000,,
37215,,
37777,,
41800,,
44158,,
44818,,
49152,,
49153,,
50000,,
50050,,
50070,,
51106,,
51235,,
52869,,
54138,,
55000,,
55442,,
55554,,
60001,,
60010,,
60030,,
60129,,
61613,,
61616,,
62078,,
